,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,Man City,Man United,Newcastle,Nott'm Forest,Sunderland,Tottenham,West Ham,Wolves
2025-12-20,8854,3536,2067,2114,2536,1786,7814,3785,6397,1441,4192,8533,8517,7115,7524,2195,3854,7511,4554,5441
2025-12-21,8121,16219,1766,1882,1741,1498,5814,2949,3403,1534,4083,7258,7083,13611,3669,2331,2954,4853,3482,5037
2025-12-22,7147,8896,1620,1406,1535,1595,5180,2273,2273,4012,2584,6004,5530,8888,2901,4167,2539,4017,2862,3637
2025-12-23,10832,4520,2124,1421,1758,1611,5682,8586,2261,2904,2241,5780,6202,7156,2672,2478,2532,3748,2748,2891
2025-12-24,7801,3292,1904,1308,1398,1357,4899,3899,1897,1630,1935,4857,6004,6452,2381,1966,2640,3277,2267,2520
2025-12-25,5657,2999,1424,1092,1235,1093,4107,2280,1726,1378,1726,4694,5108,6340,2373,3514,2226,3058,1907,2208
2025-12-26,6784,3960,1829,1436,1728,1557,5076,2488,2218,1601,2321,5360,5768,15140,7037,3682,2653,3556,2477,2972
2025-12-27,10904,16084,2673,3663,4725,2561,9933,2818,3123,2564,2737,8510,10790,13198,4203,9890,3249,4067,5375,8650
2025-12-28,8257,11008,2267,3202,2484,1905,6706,8815,2804,2213,7025,7006,7245,9192,3184,3678,9225,8284,4687,5945
2025-12-29,7179,6338,2070,1770,1973,1951,5443,2956,2336,1815,3537,5768,6032,8155,2670,2626,3329,4550,3612,3975
2025-12-30,12785,10140,3938,1841,2272,2865,7228,2761,3744,1694,2663,6094,6368,11130,3394,3463,2874,4686,4382,7216
2025-12-31,11861,5466,2341,1541,1886,1786,6428,2358,3107,1501,2270,5525,5836,8823,2667,2446,2670,3854,3246,4544
2026-01-01,9816,4561,2299,3652,2641,1583,28319,4451,3055,2920,7564,8511,8798,8066,2760,2638,12369,5639,3820,3098
2026-01-02,9775,4342,3289,2416,3435,1507,19988,5454,2763,2305,3880,6611,7088,8085,2657,2708,6256,6124,5239,2881
2026-01-03,13666,8851,11091,2065,5077,3337,14584,4295,2841,1984,3628,5904,6808,7965,2766,6516,3863,5127,11782,10065
2026-01-04,12745,5867,3741,4744,3349,2359,24583,4266,3806,7459,11911,8833,12087,14635,4110,3590,5958,6127,7357,6117
2026-01-05,11953,5073,2848,3563,2972,2406,17642,4597,2903,3589,3930,7981,8985,56021,3552,3417,3914,5385,6940,3495
2026-01-06,9751,4054,2661,2686,3750,2419,24936,3505,2858,2802,3040,6755,7994,33809,3467,6506,3086,5097,15662,3737
2026-01-07,9679,4505,4338,5292,4509,6761,17606,3919,3438,4090,4914,6740,10266,29983,4931,4324,3315,6595,10750,4488
2026-01-08,17677,3903,3889,7039,3143,2873,12078,2846,2772,3566,4674,10784,9394,19536,4792,3022,2665,7166,5020,3485
2026-01-09,10412,3598,3767,4126,2362,1883,9510,3040,2713,2224,3253,7965,12878,14480,3620,6131,3540,5259,3963,2588
2026-01-10,9057,7440,4242,3847,2796,2258,12961,12336,5064,2966,2923,6808,13124,13685,4718,5471,5484,11084,3736,3941
2026-01-11,12724,5020,2790,3283,9368,1893,10128,6673,3242,2715,5540,7313,9947,23394,3699,3092,3240,6988,5811,3021
2026-01-12,9715,5014,2238,3297,4007,2300,8561,4182,2644,1991,3631,11136,8066,21681,3501,2475,2661,6628,4293,2475
2026-01-13,9284,4262,3646,2796,2195,1804,9217,3214,2522,1784,3004,9882,12351,26507,6463,2250,2572,6646,3745,2191
2026-01-14,13154,4066,2650,2229,2244,1632,15009,2983,2537,1998,2594,7698,9725,19221,3773,2352,2424,8146,3483,2087
2026-01-15,10473,3706,2123,2300,2163,1384,11262,2511,2346,1718,3210,6602,7176,13837,2726,2308,2123,7007,4527,2044
2026-01-16,8634,3955,2351,2265,1845,1468,8000,6469,2337,1612,3297,6781,12628,13188,2570,2464,2640,5266,4314,2061
2026-01-17,14628,5082,2510,4646,2165,4393,11027,6913,2732,2168,4375,9163,19266,37392,3141,9735,4239,9300,6569,2660
2026-01-18,9921,10211,2192,3096,2110,2248,8784,6553,8530,1744,3502,7484,10389,23509,4496,3827,3692,8559,4814,7384
2026-01-19,8602,4286,4666,2330,5978,2110,7369,5157,3923,1549,2932,6825,12516,14705,2679,2785,2496,7281,3633,2581
2026-01-20,13066,3859,3725,2347,3432,1468,7476,3593,3353,1618,2893,7208,13862,12982,2674,2363,2299,8085,3040,2013
2026-01-21,13089,3460,2282,1858,2151,1404,8489,3643,2505,1446,2287,9128,9759,11721,4200,2128,2081,6386,2887,1834
2026-01-22,9785,5960,2376,1828,1733,1318,7540,2889,2352,1454,2236,8379,7245,12257,3688,3495,2030,5971,3137,1739
2026-01-23,8914,5289,2339,1764,1744,1448,6651,2645,2483,1507,2333,7486,6257,11300,2908,3329,2060,6612,3163,2106
2026-01-24,9443,4347,10088,2166,2519,3957,6784,2978,2707,2735,2747,9826,9033,10758,2922,3256,4669,7273,9708,3792
2026-01-25,20554,8266,4780,3535,2216,2110,10853,6458,2968,2571,2948,9333,8303,32129,4777,4109,2648,6137,4949,2990
2026-01-26,13621,6035,2469,2354,1795,1542,9454,3384,6510,2165,6185,7737,7527,27640,3124,3051,2336,5294,3899,2655
2026-01-27,9582,7737,3380,1726,1705,1445,8014,2692,3564,1848,2951,7164,6519,16373,2852,2836,2336,4921,3319,2135
2026-01-28,11143,7990,2375,1646,1796,1838,11163,2260,2351,2485,2306,9058,8237,13922,4297,2642,1800,6265,5204,2008
